title,author,date,content,class
"NDF Tak Lagi Berlaku, Peluang Bagi Penguatan Rupiah",Sakina Rakhma Diah,"Kamis, 27 Maret 2014","JAKARTA, KOMPAS.com - Hari ini kontrak Non Deliverable Forward (NDF) sebagai acuan nilai tukar rupiah di pasar keuangan Singapura dihapus oleh Asosiasi Bank Singapura dan Komite Pasar Forex Singapura. Mereka kemudian beralih menggunakan Jakarta Interbank Spot Dollar Rate (IDR Jisdor) sebagai acuan transaksi, mulai 28 Maret 2014 esok.

Ekonom Ryan Kiryanto memandang penggunaan IDR Jisdor di Singapura akan memberi jalan bagi penguatan nilai tukar rupiah ke depan. Ini karena pasar keuangan Singapura menilai IDR Jisdor kredibel untuk dijadikan acuan.

""Rupiah berpeluang menguat dan stabil. Ini menunjukkan Jisdor sudah diakui oleh pasar keuangan Singapura karena dinilai kredibel sebagai anchor atau jangkar kurs dollar AS/rupiah,"" kata Ryan saat dihubungi Kompas.com, Kamis (27/3/2014).

Lebih lanjut Ryan menjelaskan, dengan tidak digunakannya lagi NDF di pasar keuangan Singapura, maka tidak ada lagi spekulasi. Selama ini NDF di Singapura dianggap sebagai ajang spekulasi rupiah yang menyebabkan nilai tukar rupiah bergejolak.

""Ancaman spekulasinya mereda setelah Jisdor jadi reference rate. Karena NDF tidak lagi ditransaksikan, maka berakhirlah spekulan,"" ujar dia.

Sekedar informasi, NDF adalah instrumen derivatif di pasar keuangan yang mirip dengan arena perjudian. Para pemain di NDF menebak tentang arah suatu mata uang di masa yang akan datang. Karena berdasar pada ""tebakan,"" maka tidak ada penyerahan uang kas secara langsung.",ekonomi
"Berdayakan Perempuan, Ibu-ibu Diajari Membatik",IRA RACHMAWATI,"Selasa, 25 Maret 2014","BANYUWANGI, KOMPAS.com - Reni Hayu Pratiwi (34) menghidupkan kompor kecil dan memanaskan lilin di atas wajan kecil. Di hadapannya selembar kain putih yang sudah di gambar dengan motif batik 'kangkung setingkes'. Dengan hati-hati ia menyelupkan canting di tangan kanan nya dan meniup ujungnya perlahan. 

""Biar malamnya nggak tersumbat,"" jelasnya kepada Kompas.com Selasa (25/03/2014).

Reni Hayu Pratiwi, salah satu dari 30 ibu rumah tangga yang mengikuti pelatihan pembuatan batik yang di selenggarakan Program Nasional Pemberdayaan Masyarakat Kecamatan Kalipuro.

Sambil tertawa, Reni bercerita kesulitannya saat memegang canting. ""Awalnya kayak megang sendok, ternyata beda ya. Apalagi panas dari malam cair nya juga harus diatur agar bisa tembus di bagian kain belakang. Kalau nggak ya harus di ulang,"" katanya. 

Sebelum diajari melukis di atas kain, Reni menjelaskan, di hari pertama ia dan rekan-rekannya diperkenalkan dasar-dasar membatik, bahan dan juga motif-motif batik. ""Menyenangkan sekali. Biasanya kan ibu-ibu yang kerjanya di rumah ngurusi rumah, suami dan anak. Ini di ajari buat kain batik,"" ujarnya. 

Reni mengaku akan meneruskan pelatihan ini dengan kawan-kawannya untuk membentuk kelompok usaha. ""Tapi ya sepertinya butuh waktu lama. Nanti mau belajar sendiri lagi karena sudah dapat dasarnya disini,"" katanya. 

Sementara Buhani, pemilik Batik Srikandi mengaku senang berbagi ilmu dengan ibu-ibu rumah tangga yang mau belajar batik. ""Memang susah karena untuk mengenal batik, biasanya pemula butuh waktu 3 bulan. Pelatihan ini hanya seminggu tapi kedepannya saya mempersilahkan mereka untuk melanjutkan belajar di artshop saya,"" katanya. 

Perempuan yang sudah 21 tahun menggeluti dunia batik ini mengaku perempuan bisa memilih menjadi pembatik karena bisa dikerjakan di rumah tanpa harus meninggalkan keluarga. ""Hasilnya pun lumayan untuk tambah-tambah uang belanja. Tapi kalau di kelola secara profesional juga lebih bagus lagi hasilnya,"" tuturnya. 

Bukan hanya mengajari cara membatik, Buhani juga mengenalkan beberapa motif batik Banyuwangi. ""Motif batik yang terkenal di Banyuwangi ya hanya Gajah Uling. Padahal masih banyak motif-motif lain seperti Kangkung Stingkes, Kopi Pecah dan Paras Gempal. Sebagai awal juga diajarkan bagaimana mendesain motif agar lebih kreatif dan mempunyai nilai jual yang lebih,"" jelasnya. 

Sementara itu Sulistyaning Dyah Sinta Dewi, Ketua Unit Pengelola Kegatan program nasional pemberdayaan masyarakat Kecamatan Kalipuro Kabupaten Banyuwangi kepada Kompas.com menjelaskan, pelatihan membatik sengaja di pilih karena batik menjadi salah satu potensi yang dimiliki Kabupaten Banyuwangi. 

""Bukan hanya wisata alam dan kuliner. Batik merupakan potensi yang perlu dikembangkan. Apalagi kecamatan Kalipuro berada di jalur utara jika melintas menuju Bali,"" jelasnya. 

Pelatihan pembuatan batik ini, ibu-ibu rumah tangga di beri alat-alat batik dan juga dua lembar kain putih. ""Satu lembar nanti akan di pakai sendiri sedangkan satu nya lagi nanti akan dipamerkan,"" katanya.

Kedepannya, nanti akan di bentuk kelompok kerja di setiap desa sehingga mereka akan menularkan ke ibu-ibu di sekitarnya. 

""Ada delapan desa yang ikut yaitu Desa Bulusari, Desa Telemung, Desa Kelir, Desa Pesucen, Kelurahan Klatak, Kelurahan Bulusan dan Kelurahan Ketapang. Nanti mereka akan membentuk sentra pembuatan batik di desanya sehingga sisi lain potensi Banyuwangi juga bisa diketahui. Selain itu hal ini juga bisa untuk memberdayakan perempuan terutama yang ada di desa,"" pungkasnya.",ekonomi
BRI Tertarik Caplok Bank Mutiara dan Perusahaan Asuransi,Sugiyarto,"Senin, 24 Maret 2014","JAKARTA, KOMPAS.com - PT Bank Rakyat Indonesia Tbk tertarik untuk membeli Bank Mutiara. Rencana pembelian Bank Mutiara tersebut akan dipakai untuk menggejot bisnis anorganik.

Meski mengaku tertarik, namun Direktur Utama BRI Sofyan Basir mengaku tidak tergesa-gesa. Pihaknya akan hati-hati dan melihat harga penawaran nantinya. ""Kalau harganya bagus dan menarik, kenapa tidak?"" ujar Sofyan saat ditemui di Gedung BRI, Jakarta, Senin (24/3/2014).

Tidak hanya Bank Mutiara yang dilirik BRI. Saat ini perseroan juga sudah menimbang-nimbang membeli  perusahaan sektor keuangan lainnya seperti perusahaan asuransi.

Menurut Sofyan, BRI telah menyiapkan dana Rp 3 triliun untuk merealisasikan rencana akuisisi perusahaan keungan tersebut. Hanya saja sampai sekarang Sofyan belum menyebut nama. Diharapkan proses pengambilalihan sektor keuangan tersebut bakal selesai di tahun ini.

""Belum tahu. Mau perusahaan asuransi juga bisa. Non organik mudah-mudahan kita laksanakan tahun ini,"" katanya.

Di tempat yang sama, Direktur Keuangan BRI Ahmad Baiquni menyebutkan, ada sebuah perusahaan asuransi yang siap diakuisisi. Saat ini dalam tahap due diligence. Perseroan belum mau menyebut secara transparan perusahaan apa yang bakal diakuisisi.

""Kita siapkan Rp 3 triliun untuk dua perusahaan, asuransi jiwa dan sekuritas akan kami akusisi, sekarang masih tahap due diligence jadi nantilah penyampaian kriterianya,"" kata Baiquni.",ekonomi
Sonia Eryka Desain Sendiri Kostum untuk Klip Videonya,,"Jumat, 28 Maret 2014","JAKARTA, KOMPAS.com -- Meski usianya baru 20 tahun, sosok Sonia Eryka punya seabrek predikat. Beberapa tahun lalu dia tampil di sinetron, menjadi model, dan blogger yang dinobatkan sebagai salah satu dari 20 fashion blogger terbaik internasional versi Company Magazine Inggris. 

Dia juga menjadi konsultan fashion untuk Singapore Tourism Board serta diundang untuk menjadi penulis pekan mode di New York dan juri pada kompetisi Top Glam Blog Asia.

Kini, Sonia menjadi penyanyi dan meluncurkan singel ""Dalam Sepi"".

""Sejak kecil saya suka menyanyi dan ingin menjadi penyanyi. Sebelum ini saya sering mengunggah video saya menyanyi dengan iringan gitar akustik ke Youtube,"" kata Sonia di Jakarta, Kamis (27/3/2014).

Untuk pembuatan videoklip singel tersebut, Sonia mendapat dukungan dari Singapore Tourism Board sehingga pengambilan gambarnya pun di Singapura. Selama lima hari, Sonia berkeliling negeri mungil itu, menyambangi tempat-tempat yang sesuai dengan lagunya yang, antara lain, mengungkapkan kegalauan hatinya.

""Ada enam kostum untuk videoklip itu. Salah satunya gaun pesta warna merah yang saya desain sendiri, tetapi Mama yang menjahit. Bahkan, ketika kami berangkat ke Singapura, gaun itu belum selesai. Mama menjahit baju itu di kamar hotel,"" ujar Sonia yang juga pengusaha kafe ini.",hiburan
Gwyneth Paltrow-Chris Martin Pisah dan Akan Cerai,,"Rabu, 26 Maret 2014","LOS ANGELES, KOMPAS.com — Bintang Hollywood Gwyneth Paltrow dan vokalis band Inggris Coldplay, Chris Martin, akan bercerai setelah menikah selama lebih dari sepuluh tahun. Paltrow (41) dan Martin (37) mengumumkan perpisahan mereka dalam blog Paltrow dengan tulisan bertajuk ""Conscious Uncoupling"". 

""Dengan kesedihan hati, kami memutuskan untuk berpisah,"" tulis mereka berdua.

Pasangan yang menikah pada Desember 2003 ini punya dua anak, Apple, yang berusia sembilan tahun, dan Moses, yang berumur tujuh tahun.

Juru bicara Martin mengonfirmasi perpisahan tersebut, seperti dilaporkan Associated Press.

Masa-masa sulit
Dalam situs milik Paltrow, goop.com, mereka mengatakan, ""Telah sampai pada kesimpulan, walau kami sangat mencintai satu sama lain, kami akan tetap berpisah.""

Pasangan ini mengatakan, mereka, ""berusaha keras untuk akur dalam setahun terakhir, untuk melihat pilihan yang mungkin bagi kami berdua"".

Kata mereka pula, ""Kami bagaimanapun akan selalu menjadi keluarga, dan dalam banyak hal menjadi lebih dekat dari sebelumnya.""

Pasangan ini pindah ke Los Angeles, California, AS, tahun lalu, setelah sebelumnya tinggal di London. Pada November 2013, Paltrow sempat berbicara tentang rencana untuk memindahkan lagi keluarganya ke Inggris.

Paltrow pernah meraih piala Oscar untuk kategori Aktris Terbaik pada 1998 berkat aktingnya dalam film Shakespeare in Love. Yang terkini, ia berperan dalam film Iron Man 3.

Martin bersama Coldplay akan merilis album keenam tahun ini. Ia juga akan ikut menjadi mentor dalam kontes nyanyi di layar kaca, The Voice, di AS.",hiburan
"Film ""Noah"" Tidak Lolos Sensor di Indonesia",Ichsan Suhendra,"Senin, 24 Maret 2014","JAKARTA, KOMPAS.com — Ketua Lembaga Sensor Film Dr Mukhlis Paeni menegaskan, lembaganya tidak meloloskan film Noah untuk tayang di bioskop di Indonesia. Keputusan tersebut telah resmi dikeluarkan sejak Jumat (21/3/2014). 

""Kami (LSF) tidak melarang, hanya tidak memberikan tanda lolos sensor. Keputusan itu sudah diresmikan sejak Jumat,"" kata Mukhlis kepada Kompas.com melalui telepon, Senin (24/3/2014).

Film yang dibintangi Rusell Crowe itu dinilai tidak sesuai dengan kisah yang termaktub dalam kitab suci Al Quran dan Alkitab. LSF mencegah kemungkinan protes yang terjadi jika film tersebut jadi ditayangkan.

""Kontennya tidak sesuai dengan kisah yang ada di Al Quran, di Alkitab juga tidak sesuai,"" lanjut Mukhlis. 

Film Noah juga mendapat penolakan dari lembaga sensor di Qatar, Bahrain, dan Uni Emirat Arab. Hal itu menjadi salah satu pertimbangan.

""Tidak mendapat respons baik hampir di semua negara Islam. Kita sebagai negara mayoritas menganggap kalau diputar memancing keributan,"" ujarnya.",hiburan
SWIF Jual Mini Album untuk Kemanusiaan,Irfan Maullana,"Sabtu, 22 Maret 2014","JAKARTA, KOMPAS.com - Duo SWIF yang terdiri dari vokalis Sigit Wardana ""Base Jam"" dan gitaris Idea Fasha ""Marvel"", sengaja menyisihkan 30 persen hasil penjualan mini album Nafas Cinta untuk anak-anak yatim dan kurang mampu.

""Hasil penjualan album ini kami donasikan 30 persen untuk anak yatim dan yang kurang mampu,"" kata Arini Hayu, produser album mini Nafas Cinta, saat jumpa pers di fX Plaza lantai 3, Jakarta Selatan, Sabtu (22/3/2014).

Sigit dan Idea mengaku sangat tertarik bisa terlibat dalam proyek musik untuk kemanusiaan ini. ""Kalau kami berdua sempat beberapa kali bikin project ya. Akhirnya pas pada saat ada konsep dari Mbak Arini untu bikin album, ya sudah kenapa enggak,"" kata Sigit. 

""Pas pertama kali ketemu Mbak Arini, ngobrol-ngobrol, ya sudah besoknya mulai dikerjain pas Januari 2014 itu,"" timpal Idea. 

Mereka mendapat tantangan cukup sulit karena Sigit dan Idea harus menggodok materi album di luar kebiasaan mereka berdua di band masing-masing. 

""Ini tantangannya, lagunya sudah ada dari Mbak Arini, sudah jadi, bahkan ada yang sudah jadi aransemennya. Kami kurang cocok buat kebutuhan kami, jadi harus direvisi,"" kata Sigit. 

""Tanpa mengubah esensinya, aransemen dan lirik disesuaikan,"" tambah Idea mengenai mini album yang menjagokan ""Nafas Cinta"" sebagai single utamanya.",hiburan
Rivalitas Berlanjut di Arena Premier League,Aloysius Gonsaga AE,"Sabtu, 22 Maret 2014","KOMPAS.com — Siapa musuh abadi dalam sepak bola domestik Inggris seusai Sir Alex Ferguson mengundurkan diri? Siapa lagi kalau bukan ""duel mulut"" antara Arsene Wenger dan Jose Mourinho. The Special One atau yang lebih suka disebut sebagai The Happy One sekarang ini bahkan sudah memulai perang urat syaraf dengan menyebut Arsene Wenger sebagai ""The Failure One"", menyusul ketidakmampuan The Professor untuk memenangi gelar sejak 2004/05.

Mourinho-lah yang menghentikan hegemoni Arsenal di sepak bola Inggris ketika mantan pelatih FC Porto ini datang ke Stamford Bridge musim panas 2004 lalu. Dua gelar Premier League, dua gelar Piala Liga dan satu trofi Piala FA dan satu Community Shield adalah persembahan Mou bagi Stamford Bridge. Dan, ketika si mulut besar ini merapat ke Italia dan Spanyol dengan terus memberikan 5 gelar bagi Inter Milan dan 3 gelar bagi Real Madrid, Arsene Wenger di Inggris tetap dengan sepak bola indah, tetapi tangan hampa.

Jadi sebenarnya tanpa mengesampingkan kekurangajarannya, pendapat Mourinho tentang Wenger adalah fakta tak terbantahkan. Fakta yang harus dibantah oleh Le Preffeseur di minggu ke-31 BPL 2013/14 ini ketika kedua tim kembali melanjutkan rivalitas mereka di Stamford Bridge.

Kemenangan penting Arsenal atas Tottenham Hotspur minggu lalu menyusul kekalahan Chelsea di Villla Park membuka persaingan baru juara BPL musim ini. Jadi pemenang laga awal BPL minggu ini di Stamford Bridge punya peluang untuk terus bersaing dengan Manchester City dan Liverpool.

Satu hal yang harus dipatahkan oleh Wenger adalah rekor tidak terkalahkan Mourinho di Stamford Bridge. Artinya Wenger belum pernah menaklukkan Chelsea di bawah Mourinho pada saat laga dimainkan di kandang The Blues, walaupun Wenger pernah merasakan nikmatnya mengalahkan Chelsea saat ditangani oleh Claudio Ranieri, Guus Hiddink, dan Andre Villas-Boas. Jadi jika kemenangan sampai terulang pada Sabtu ini, peluang Arsenal untuk kembali menjadi juara seperti musim 2003/04 lebih terbuka.

Namun, fakta membuktikan bahwa pencapaian Arsenal menghadapi tim-tim di jajaran sembilan besar BPL musim ini pada saat tandang adalah minim. Hanya dua kemenangan yang diraih, dan tidak satu pun diperoleh saat menghadapi tim-tim di 4 besar.

Chelsea 50 – 50 Arsenal

MANCHESTER CITY vs FULHAM

RIVALITAS berlanjut Chelsea versus Arsenal bisa dimanfaatkan oleh anak asuhan Manuel Pellegrini saat menjamu Fulham minggu ini di Ettihad. Rekor impresif kandang Manchester City dengan gelontoran 4 gol ditambah menghadapi Fulham dengan pertahanan terburuk di kompetisi membuat peluang The Citizen untuk meraup tiga angka sangat besar.

Satu kendala yang harus dipatahkan oleh Yaya Toure dkk adalah minimnya gol akhir-akhir ini yang bisa dihasilkan. Hanya tiga gol dalam empat laga terakhir BPL, adalah gambaran melemahnya lini depan sepeninggal Sergio Aguero yang membuat mereka tersingkir di Piala FA dan Liga Champions.

Kini berhadapan dengan barisan belakang terlemah yang dikoordinasi oleh Fernando Amorebieta dan Brede Hangeland, akan merupakan kejutan terbesar jika anak asuhan Felix Magath ini bisa menahan imbang tuan rumah.

Peluang terbaik mereka adalah berharap penjaga gawang David Stockdale bermain gemilang seperti saat menutup semua peluang Newcastle United minggu lalu dan tentunya juga berharap kunjungan kedua mereka ke Manchester musim ini segemilang saat kunjungan pertama mereka bulan lalu ke satdion saingan sekota The Citizen.

Manchester City 60 – 40 Fulham

CARDIFF CITY  vs  LIVERPOOL

SATU kandidat juara lainnya, The Reds Liverpool, minggu ini punya peluang untuk tetap ada di urutan kedua saat tandang ke Cardiff City Stadium menghadapi anak asuhan Ole Gunnar Solskajer yang saat jadi pemain sering mengecewakan Liverpudlian.

Minggu lalu juara Championship musim lalu ini harus kalah dari sentuhan menit akhir Seamus Coleman di Goodison Park. Hasil yang membuat klub milik Vincent Tan ini makin sulit keluar dari jeratan zona degradasi.

Apalagi lawan yang mereka hadapi musim ini punya duet di depan yang telah menghasilkan 43 gol bagi The Reds. Wajar jika semua prediksi mengarah pada kemenangan anak asuhan Brendan Rodgers ini.  

Yang harus diwaspadai oleh Steve Gerrad dkk adalah kurang konsentrasinya lini belakang mereka terutama terhadap lawan yang ""ngotot"" seperti yang ditunjukkan oleh Hull City, Swansea City, dan Aston Villa terhadap gawang Simon Mignolet. Jika konsentrasi Martin Skrtel dkk terjaga peluang nilai penuh akan jadi milik The Reds.

Cardiff City 45 - 55 Liverpool",olahraga
Legenda MU Tak Sabar Lihat Rooney Pecahkan Rekor Gol,Aloysius Gonsaga AE,"Selasa, 25 Maret 2014","LONDON, Kompas.com - Legenda Manchester United, Bobby Charlton, tak sabar menunggu Wayne Rooney memecahkan rekor golnya. Dia berharap striker tim nasional Inggris tersebut segera melakukannya bersama Setan Merah.

Dua gol Rooney ke gawang West Ham United, Sabtu (22/3/2014), membuat dia menorehkan total 212 gol bagi The Red Devils. Dengan demikian, Rooney saat ini menempati posisi ketiga daftar top scorer sepanjang masa di Old Trafford, di belakang Charlton (249) dan Danis Law (237).

""Saya sudah katakan sebelumnya bahwa tak masalah dengan Wayne Rooney memecahkan rekor golku di sini dan untuk Inggris,"" ujar Charlton menjelang derbi Manchester antara MU dan Manchester City, Selasa (25/3).

""Tidak sama sekali. Sesungguhnya, saya mengatakan kepada dia agar melakukannya secepat mungkin! Dia striker hebat dan pemain yang hebat. Saya sudah mengatakan kepadanya bahwa saya berharap saya akan menjadi orang yang memberikan dia penghargaan, sehingga dia harus yakin bisa melakukannya!""

Di level timnas, Rooney memiliki peluang untuk menyamakan rekor gol Charlton, yang mencetak 49 gol. Saat ini, Rooney telah mengemas 38 gol, sehingga jalan untuk menuju ke sana (menyamai bahkan melewati) terbuka lebar.",olahraga
Timnas U-19 Intip Kekuatan Lawan Lewat Video,Aloysius Gonsaga AE,"Jumat, 28 Maret 2014","JAKARTA, KOMPAS.com — Manajemen Timnas Indonesia U-19 akan menggunakan rekaman video pertandingan untuk mengintip kekuatan calon lawan. Ini menjadi salah satu langkah agar Garuda Jaya bisa melihat potensi lawan yang akan dihadapi dalam putaran final Piala AFC 2014 pada Oktober mendatang.

Sekretaris Badan Tim Nasional (BTN) Sefdin Syaifudin mengatakan, video rekaman pertandingan dari 15 negara calon lawan itu sudah di tangan dan tinggal dikaji. ""Semuanya sudah ada. Kami meminta bantuan AFC untuk mendapatkan rekaman pertandingan itu,"" ujar Sefdin di kantor PSSI Senayan, Jakarta, Jumat (28/3/2014).

Demi mendukung persiapan timnas untuk turun di Piala AFC, BTN telah menyiapkan program jangka pendek maupun jangka panjang. Program yang baru saja selesai dilakukan adalah tur Nusantara 1. Ada 13 pertandingan yang dijalani anak asuh Indra Sjafri ini.

Setelah itu, Evan Dimas dan kawan-kawan mendapatkan kesempatan uji coba ke Timur Tengah, 5-21 April. Ada empat pertandingan yang dijalani, di antaranya melawan Timnas Oman dan Uni Emirat Arab U-19.

Timnas Garuda Jaya juga dijadwalkan menjalani tur Eropa. Selain itu, akan turun di turnamen mini di Jakarta dan Vietnam serta kembali menjalani tur Nusantara II.

""Dengan rekaman minimal, kami bisa mengetahui gambaran kekuatan lawan. Setelah itu kami pelajari untuk menyiapkan strategi,"" katanya menambahkan.",olahraga
